Rep,Species,Waterlogging,Shoot dry weight 
1,Balansa,Control,46.6
1,Balansa,Early,14.2
1,Balansa,Intermittent,5.9
1,Balansa,Late,18.3
1,Balansa,Permanent,9.1
2,Balansa,Control,18.7
2,Balansa,Early,4.8
2,Balansa,Intermittent,12.8
2,Balansa,Late,38
2,Balansa,Permanent,9.9
3,Balansa,Control,10.2
3,Balansa,Early,9.2
3,Balansa,Intermittent,10
3,Balansa,Late,8
3,Balansa,Permanent,5
4,Balansa,Control,32.6
4,Balansa,Early,40.1
4,Balansa,Intermittent,29.9
4,Balansa,Late,30
4,Balansa,Permanent,23.8
5,Balansa,Control,29.7
5,Balansa,Early,31.6
5,Balansa,Intermittent,5
5,Balansa,Late,36.3
5,Balansa,Permanent,11.1
6,Balansa,Control,12.5
6,Balansa,Early,16.2
6,Balansa,Intermittent,30.7
6,Balansa,Late,4.1
6,Balansa,Permanent,19.2
7,Balansa,Control,33.5
7,Balansa,Early,0
7,Balansa,Intermittent,4.5
7,Balansa,Late,5.7
7,Balansa,Permanent,8.7
8,Balansa,Control,30.5
8,Balansa,Early,4
8,Balansa,Intermittent,4
8,Balansa,Late,24.1
8,Balansa,Permanent,4.9
